唯一id	数字	花色	伤害值	资源路径		
29	3	3	3	Sprite/Card/IconCard/icon_card_3_3	Sprite/Card/CardType/icon_cardType_3	Sprite/Card/CardNumber/icon_number_3
30	4	3	4	Sprite/Card/IconCard/icon_card_3_4	Sprite/Card/CardType/icon_cardType_3	Sprite/Card/CardNumber/icon_number_4
31	5	3	5	Sprite/Card/IconCard/icon_card_3_5	Sprite/Card/CardType/icon_cardType_3	Sprite/Card/CardNumber/icon_number_5
32	6	3	6	Sprite/Card/IconCard/icon_card_3_6	Sprite/Card/CardType/icon_cardType_3	Sprite/Card/CardNumber/icon_number_6
33	7	3	7	Sprite/Card/IconCard/icon_card_3_7	Sprite/Card/CardType/icon_cardType_3	Sprite/Card/CardNumber/icon_number_7
34	8	3	8	Sprite/Card/IconCard/icon_card_3_8	Sprite/Card/CardType/icon_cardType_3	Sprite/Card/CardNumber/icon_number_8
35	9	3	9	Sprite/Card/IconCard/icon_card_3_9	Sprite/Card/CardType/icon_cardType_3	Sprite/Card/CardNumber/icon_number_9
36	10	3	10	Sprite/Card/IconCard/icon_card_3_10	Sprite/Card/CardType/icon_cardType_3	Sprite/Card/CardNumber/icon_number_10
37	11	3	11	Sprite/Card/IconCard/icon_card_3_11	Sprite/Card/CardType/icon_cardType_3	Sprite/Card/CardNumber/icon_number_11
38	12	3	12	Sprite/Card/IconCard/icon_card_3_12	Sprite/Card/CardType/icon_cardType_3	Sprite/Card/CardNumber/icon_number_12
39	13	3	13	Sprite/Card/IconCard/icon_card_3_13	Sprite/Card/CardType/icon_cardType_3	Sprite/Card/CardNumber/icon_number_13
40	1	4	1	Sprite/Card/IconCard/icon_card_4_1	Sprite/Card/CardType/icon_cardType_4	Sprite/Card/CardNumber/icon_number_1
41	2	4	2	Sprite/Card/IconCard/icon_card_4_2	Sprite/Card/CardType/icon_cardType_4	Sprite/Card/CardNumber/icon_number_2
42	3	4	3	Sprite/Card/IconCard/icon_card_4_3	Sprite/Card/CardType/icon_cardType_4	Sprite/Card/CardNumber/icon_number_3
43	4	4	4	Sprite/Card/IconCard/icon_card_4_4	Sprite/Card/CardType/icon_cardType_4	Sprite/Card/CardNumber/icon_number_4
44	5	4	5	Sprite/Card/IconCard/icon_card_4_5	Sprite/Card/CardType/icon_cardType_4	Sprite/Card/CardNumber/icon_number_5
45	6	4	6	Sprite/Card/IconCard/icon_card_4_6	Sprite/Card/CardType/icon_cardType_4	Sprite/Card/CardNumber/icon_number_6
46	7	4	7	Sprite/Card/IconCard/icon_card_4_7	Sprite/Card/CardType/icon_cardType_4	Sprite/Card/CardNumber/icon_number_7
47	8	4	8	Sprite/Card/IconCard/icon_card_4_8	Sprite/Card/CardType/icon_cardType_4	Sprite/Card/CardNumber/icon_number_8
48	9	4	9	Sprite/Card/IconCard/icon_card_4_9	Sprite/Card/CardType/icon_cardType_4	Sprite/Card/CardNumber/icon_number_9
49	10	4	10	Sprite/Card/IconCard/icon_card_4_10	Sprite/Card/CardType/icon_cardType_4	Sprite/Card/CardNumber/icon_number_10
50	11	4	11	Sprite/Card/IconCard/icon_card_4_11	Sprite/Card/CardType/icon_cardType_4	Sprite/Card/CardNumber/icon_number_11
51	12	4	12	Sprite/Card/IconCard/icon_card_4_12	Sprite/Card/CardType/icon_cardType_4	Sprite/Card/CardNumber/icon_number_12
52	13	4	13	Sprite/Card/IconCard/icon_card_4_13	Sprite/Card/CardType/icon_cardType_4	Sprite/Card/CardNumber/icon_number_13
53	1	5	15	Sprite/Card/IconCard/icon_card_5_1	Sprite/Card/CardType/icon_cardType_5	Sprite/Card/CardNumber/icon_number_15
54	2	5	16	Sprite/Card/IconCard/icon_card_5_2	Sprite/Card/CardType/icon_cardType_6	Sprite/Card/CardNumber/icon_number_16
